Hogar;Persona;AnoNac;Sexo;Relacion;Viajes;LicenciaConducir;PaseEscolar;AdultoMayor;Estudios;Curso;Actividad;Ocupacion;1ctividad5mpresa;JornadaTrabajo;4onde5studia;4ir1ctividad3oordX;4ir1ctividad3oordY;4ir5studios3oordX;4ir5studios3oordY;NoViaja;Tarjeta2ip;Tarjeta22ip;Medio;3onoceTransantiago;NoUsaTransantiago;4iscapacidad;TieneIngresos;Ingreso;TramoIngreso;Ingreso6inal;TramoIngreso6inal;IngresoImputado;6actor_LaboralNormal;6actor_SabadoNormal;6actor_4omingoNormal;6actor_Laboral5stival;6actor_6indesemana5stival;6actor
109761;10976101;1958;1;1;2;3;2;2;5;4;1;5;5;1;2;347417,8242;6305018,362;2;2;2;3;2;2;2;2;J;1;3;3;454487;3;2;2;2;2;1484;2;101,0647
109771;10977102;1980;1;1;2;3;2;2;11;5;1;5;5;1;2;337165,6288;6296328,76;2;2;2;3;2;2;1;2;J;1;3;4;1061991;4;2;2;2;2;857;2;60,82039
109791;10979102;1952;1;1;2;3;2;2;5;4;1;5;5;1;2;339040,913;6306833,219;2;2;2;3;2;2;1;1;J;1;3;3;601465;3;2;899,2;2;2;2;2;309,72565
109801;10980101;1988;1;1;2;3;2;2;5;4;1;5;1;1;2;347227,2253;6303499,622;2;2;2;3;2;3;1;6;J;3;0;3;585799;3;2;25,23684;2;2;2;2;16,33293
109821;10982102;1984;1;1;2;3;2;2;7;4;1;5;5;1;2;345001,0218;6308820,14;2;2;2;3;2;4;1;2;J;1;3;3;497789;3;2;180,3858;2;2;2;2;42,60682
110081;11008102;1974;1;1;2;3;2;2;5;4;1;5;1;1;2;341455,3869;6312673,678;2;2;2;3;2;2;1;5;J;1;650000;3;650000;3;0;2;2;2;146;2;3,61626
110101;11010101;1977;2;2;2;3;2;2;5;4;1;5;5;1;2;343822,1953;6324778,861;2;2;2;3;2;2;1;1;J;1;500000;3;500000;3;0;2;15804;2;2;2;599,78186
110221;11022102;1949;1;1;2;3;2;2;10;4;1;4;5;1;2;343963,035;6325100,561;2;2;2;3;2;2;1;1;J;1;3;4;899642;4;2;29,40695;2;2;2;2;8,21542
110241;11024101;1981;1;1;2;3;2;2;5;4;1;5;5;1;2;345056,4252;6326268,008;2;2;2;3;2;2;1;5;J;1;560000;3;560000;3;0;957,9677;2;2;2;2;688,05341
110361;11036102;1972;1;1;2;3;2;2;5;4;1;2;8;1;2;343828,9095;6326816,85;2;2;2;3;2;4;1;1;J;1;3;3;552021;3;2;304,6257;2;2;2;2;100,10748
110451;11045101;1970;2;2;2;3;2;2;5;4;1;5;4;1;2;343831,4228;6324784,887;2;2;2;3;2;2;1;1;J;1;500000;3;500000;3;0;218,0496;2;2;2;2;104,59628
110581;11058104;1962;2;4;2;3;2;2;10;4;1;4;3;1;2;343970,0799;6325098,879;2;2;2;3;2;4;1;1;J;1;700000;3;700000;3;0;2;2;2;1157;2;1,61378
110681;11068101;1979;2;2;2;3;2;2;5;4;1;5;5;1;2;0;0;2;2;2;3;2;2;1;1;J;1;700000;3;700000;3;0;296,6216;2;2;2;2;79,73215
110691;11069101;1956;1;1;2;3;2;2;5;4;3;2;2;2;2;2;2;2;2;2;3;2;2;1;1;J;1;300000;2;300000;2;0;249,4711;2;2;2;2;67,16846
110781;11078102;1950;1;1;2;3;2;2;5;1;1;2;5;1;2;345701,1344;6298053,477;2;2;2;3;2;2;1;5;J;1;500000;3;500000;3;0;249,4711;2;2;2;2;67,16846
110881;11088101;1982;1;1;2;3;2;2;10;4;1;5;4;1;2;346914,6733;6300000,246;2;2;2;3;2;3;1;5;J;1;400000;2;400000;2;0;362,6775;2;2;2;2;135,83614
110881;11088102;1982;2;2;2;1;2;2;11;5;1;5;8;1;2;343811,51;6306721,17;2;2;2;3;2;3;1;5;J;1;380000;2;380000;2;0;273,4533;2;2;2;2;117,65867
110881;11088103;2009;2;3;2;1;2;2;2;1;2;2;2;2;2;2;2;344011,1582;6305852,838;2;2;2;10;2;7;J;2;0;0;0;0;0;379,4185;2;2;2;2;149,55161
110891;11089105;1986;1;3;2;3;2;2;7;4;1;5;2;1;2;353418,57;6303204,96;2;2;2;3;2;3;1;5;J;1;340000;2;340000;2;0;2;3514;2;2;2;188,80478
110911;11091101;1965;2;2;2;3;2;2;5;4;4;2;2;2;2;2;2;2;2;2;3;2;3;1;1;J;2;0;0;0;0;0;491,6014;2;2;2;2;284,81946
111161;11116102;1977;2;2;2;3;2;2;5;4;1;5;5;1;2;345701,18;6296793,596;2;2;2;3;2;3;1;1;J;1;500000;3;500000;3;0;624,472;2;2;2;2;225,36028
111171;11117101;1980;1;1;2;3;2;2;5;4;1;5;5;1;2;341002,6848;6291502,436;2;2;2;3;2;2;1;5;J;1;700000;3;700000;3;0;2;2;2;596;2;399,91406
111171;11117102;1983;2;2;2;3;2;2;5;4;1;5;5;1;2;0;0;2;2;2;3;2;2;1;5;J;1;700000;3;700000;3;0;2;2;2;596;2;346,39783
111211;11121101;1960;1;1;2;3;2;2;7;3;1;2;2;1;2;0;0;2;2;2;2;2;4;1;2;5;J;1;600000;3;600000;3;0;2;2;2;802;2;1617,40771
111311;11131101;1945;1;1;2;3;2;2;5;4;3;2;2;2;2;2;2;2;2;2;3;2;10;1;2;J;1;200000;1;200000;1;0;520,2291;2;2;2;2;194,79547
111341;11134104;1995;2;3;2;1;1;2;5;3;2;2;2;2;4;2;2;344729,6838;6303356,613;2;2;2;7;1;5;J;2;0;0;0;0;0;43,15127;2;2;2;2;38,06518
111341;11134105;2002;2;3;2;1;1;2;4;5;2;2;2;2;4;2;2;344729,6838;6303356,613;2;2;2;2;1;5;J;2;0;0;0;0;0;62,33337;2;2;2;2;44,99531
111341;11134106;2008;2;3;2;1;2;2;2;1;2;2;2;2;2;2;2;344729,6838;6303356,613;2;2;2;2;2;5;J;2;0;0;0;0;0;48,67102;2;2;2;2;37,22316
111361;11136101;1987;2;2;2;3;2;2;5;4;4;2;2;2;2;2;2;2;2;2;3;2;2;1;5;J;2;0;0;0;0;0;373,7226;2;2;2;2;143,90121
111361;11136103;2008;1;4;2;1;2;2;2;1;2;2;2;2;2;2;2;343822,6815;6304666,342;2;2;2;2;2;5;J;2;0;0;0;0;0;518,5427;2;2;2;2;182,90755
111441;11144102;1972;2;2;2;3;2;2;5;4;4;2;2;2;2;2;2;2;2;2;3;2;2;1;5;J;2;0;0;0;0;0;241,6214;2;2;2;2;89,48083
111521;11152101;1972;2;2;2;1;2;2;9;4;1;5;3;1;2;348925,58;6299751,829;2;2;2;3;2;2;1;5;J;1;340000;2;340000;2;0;80,18169;2;2;2;2;11,08447
111531;11153103;1967;1;3;2;3;2;2;10;4;1;5;3;1;2;356141,3557;6310267,704;2;2;2;3;2;3;1;5;J;1;3;3;718060;3;2;426,5999;2;2;2;2;39,13166
111531;11153104;1982;1;3;2;3;2;2;11;4;1;5;3;1;2;341695,1073;6306883,38;2;2;2;3;2;2;1;5;J;1;500000;3;500000;3;0;344,0222;2;2;2;2;30,76595
111621;11162102;1977;1;1;2;3;2;2;5;4;1;5;5;1;2;342835,1489;6305447,288;2;2;2;3;2;2;1;5;J;1;450000;3;450000;3;0;138,4377;2;2;2;2;61,13895
111651;11165103;1987;1;3;2;3;2;2;5;4;1;5;5;1;2;2;2;2;2;2;3;2;2;1;5;J;1;290000;2;290000;2;0;495,663;2;2;2;2;166,13301
111692;11169203;1954;1;1;2;3;2;2;5;4;1;2;2;1;2;344024,2513;6304956,104;2;2;2;3;2;2;1;5;J;1;300000;2;300000;2;0;626,9065;2;2;2;2;51,51142
111721;11172102;1963;2;2;2;3;2;2;5;4;4;2;2;2;2;2;2;2;2;2;3;2;2;1;1;J;2;0;0;0;0;0;2;2;2;1059;2;303,10406
111801;11180102;1940;2;2;2;1;2;2;4;6;3;2;2;2;2;2;2;2;2;2;3;2;2;1;5;J;1;150000;1;150000;1;0;144,4813;2;2;2;2;500,48962
111991;11199103;1980;1;4;2;3;2;2;5;4;1;2;5;1;2;345398,5918;6300732;2;2;2;3;2;2;2;2;J;1;280000;2;280000;2;0;166,181;2;2;2;2;93,42275
111991;11199104;1976;1;3;2;3;2;2;5;4;1;5;5;1;2;346190,8679;6300227,111;2;2;2;3;2;3;1;1;J;1;460000;3;460000;3;0;166,181;2;2;2;2;93,42275
112001;11200103;1950;1;1;2;3;2;2;5;1;3;2;2;2;2;2;2;2;2;2;3;2;2;1;5;J;1;120000;1;120000;1;0;2;2;2;802;2;627,97632
112071;11207101;1938;1;1;2;1;2;2;4;8;3;2;2;2;2;2;2;2;2;2;3;2;4;1;2;J;1;140000;1;140000;1;0;1882,626;2;2;2;2;957,78046
112091;11209104;1952;1;1;2;3;2;2;5;2;6;2;2;2;2;2;2;2;2;2;3;2;3;1;5;J;2;0;0;0;0;0;2;2;1450,346;2;2;567,90259
112100;11210002;1966;1;1;2;3;2;2;5;2;1;5;8;1;2;346590,25;6298257,07;2;2;2;3;2;2;1;5;J;1;380000;2;380000;2;0;37,07501;2;2;2;2;17,67089
112100;11210003;1993;1;3;2;1;1;2;5;4;2;2;2;2;7;2;2;0;0;2;2;2;3;1;5;J;2;0;0;0;0;0;30,42219;2;2;2;2;13,83989
112131;11213103;1984;2;3;2;3;2;2;5;4;1;5;5;1;2;346139,29;6298180,13;2;2;2;3;2;2;1;5;J;1;350000;2;350000;2;0;166,3656;2;2;2;2;113,49652
112131;11213104;1990;1;3;2;3;1;2;10;4;2;2;2;2;7;2;2;346139,29;6298180,13;2;3;2;3;1;5;J;1;3;2;334468;2;2;188,0176;2;2;2;2;130,52885
112141;11214102;1984;1;1;2;3;2;2;5;4;1;5;5;1;2;343721,7095;6304799,918;2;2;2;3;2;2;1;1;J;1;500000;3;500000;3;0;2;2;2;2;5223;62,04344
112181;11218101;1961;2;2;2;1;2;2;5;3;1;2;2;1;2;345618,4759;6304391,849;2;2;2;3;2;2;1;5;J;1;200000;1;200000;1;0;2;2;2;2;7207;235,88269
112181;11218102;1969;1;1;2;3;2;2;5;4;1;2;2;1;2;345618,4759;6304391,849;2;2;2;3;2;2;1;5;J;1;220000;2;220000;2;0;2;2;2;2;7207;257,53201
112410;11241002;1942;1;4;2;1;2;2;4;5;3;2;2;2;2;2;2;2;2;2;3;2;2;1;5;J;1;160000;1;160000;1;0;2;2;2;802;2;104,06963
112471;11247101;1950;1;1;2;3;2;2;9;4;3;2;2;2;2;2;2;2;2;2;3;2;2;1;5;J;1;500000;3;500000;3;0;224,7907;2;2;2;2;108,62554
112521;11252101;1951;2;1;2;3;2;2;5;1;1;2;2;1;2;0;0;2;2;2;3;2;2;1;5;J;1;500000;3;500000;3;0;2;2;2;1059;2;86,76797
112581;11258102;1974;1;1;2;3;2;2;5;4;1;5;5;1;2;333182,3908;6303280,696;2;2;2;3;2;2;1;5;J;1;3;3;671983;3;2;2;2;2715,828;2;2;144,89162
112791;11279101;1974;1;1;2;3;2;2;5;4;1;5;5;1;2;337696,2031;6302687,278;2;2;2;3;2;3;1;1;J;1;3;3;421484;3;2;437,7766;2;2;2;2;122,87096
